what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.cdt.debug.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.ui.SourceNotFoundEditor",1486042372366
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1486042393086
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1486042399926
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1486042420436
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1486042427446
activated,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugView",1486042429008
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.Terminate",1486042429138
error,log,,,"Error logged from Debug Core: ",1486042429198
closed,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.MemoryView",1486042437540
closed,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.RegisterView",1486042437540
closed,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.ModuleView",1486042437540
activated,perspective,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.CPerspective",1486042437550
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1486042437560
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1486042441406
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1486042446062
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.cleanAction",1486042446072
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1486042446373
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1486042446613
activated,perspective,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugPerspective",1486042472721
activated,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugView",1486042474323
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1486042476316
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1486042478179
no handler,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1486042478679
activated,perspective,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.CPerspective",1486042480362
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1486042480372
