what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1486039100752
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1486039100762
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1486039115033
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1486039117566
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1486039119940
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1486039120871
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1486039120891
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1486039126769
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1486039126920
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1486039132498
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1486039134811
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1486039136523
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1486039136904
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1486039136954
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1486039138246
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1486039138266
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1486039147669
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1486039151956
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1486039152286
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1486039153428
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1486039153438
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1486039158956
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1486039160398
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1486039160618
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1486039160648
