what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.commons.ui",1487618448326
os,sysinfo,,,"win32",1487618448336
arch,sysinfo,,,"x86",1487618448336
ws,sysinfo,,,"win32",1487618448336
locale,sysinfo,,,"pl_PL",1487618448336
processors,sysinfo,,,"1",1487618448336
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1487618448336
java.runtime.version,sysinfo,,,"1.6.0_35-b10",1487618448336
java.specification.name,sysinfo,,,"Java Platform API Specification",1487618448336
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1487618448336
java.specification.version,sysinfo,,,"1.6",1487618448336
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1487618448336
java.version,sysinfo,,,"1.6.0_35",1487618448336
java.vm.info,sysinfo,,,"mixed mode, sharing",1487618448336
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1487618448336
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1487618448336
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1487618448336
java.vm.specification.version,sysinfo,,,"1.0",1487618448336
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1487618448336
java.vm.version,sysinfo,,,"20.10-b01",1487618448336
started,bundle,org.eclipse.mylyn.context.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.core",1487618448416
started,bundle,org.eclipse.mylyn.context.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.ui",1487618448536
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1487618448606
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui",1487618448716
started,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1487618448756
