what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1486039161780
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1486039161790
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1486039168529
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1486039173116
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1486039173266
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1486039197181
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1486039201417
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1486039204041
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1486039210330
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1486039217280
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1486039226733
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1486039305296
started,bundle,org.eclipse.cdt.debug.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.ui",1486039305306
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1486039307579
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.properties",1486039307599
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1486039317404
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1486039317574
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1486039327488
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1486039349920
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1486039353586
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1486039354577
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1486039361898
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1486039362578
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1486039366114
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1486039373564
