what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.epp.usagedata.recording,1.1.0.R200906100410,"org.eclipse.epp.usagedata.recording",1487613798069
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.core",1487613798079
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.ui",1487613798079
started,bundle,org.eclipse.mylyn.commons.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.commons.ui",1487613798079
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1487613798089
os,sysinfo,,,"win32",1487613798089
arch,sysinfo,,,"x86",1487613798089
ws,sysinfo,,,"win32",1487613798089
locale,sysinfo,,,"pl_PL",1487613798089
processors,sysinfo,,,"1",1487613798089
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1487613798089
java.runtime.version,sysinfo,,,"1.6.0_35-b10",1487613798089
java.specification.name,sysinfo,,,"Java Platform API Specification",1487613798089
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1487613798089
java.specification.version,sysinfo,,,"1.6",1487613798089
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1487613798089
java.version,sysinfo,,,"1.6.0_35",1487613798089
java.vm.info,sysinfo,,,"mixed mode, sharing",1487613798089
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1487613798089
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1487613798089
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1487613798089
java.vm.specification.version,sysinfo,,,"1.0",1487613798089
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1487613798089
java.vm.version,sysinfo,,,"20.10-b01",1487613798089
started,bundle,org.eclipse.mylyn.context.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.core",1487613798159
